# An estimate of the number of hours you spent on each lab or assignment.
# lab0 is pre-lab / computing environment.
# This information will not be used in determining your grade.
# This information will be used to adjust the workload.
# Round to the nearest natural number please (i.e., integer greater than 0).
# Comment lines start with an octothorpe (#), per the Unix convention.
# The actual data lines do not start with octothorpe (#).
lab0 1h
lab1 4h
lab2 4h
lab3 6h
lab4 7h
lab5 4h
lab6 3h
lab7 4h
lab8 0
lab9 0
lab10 0
